school_name,address,postal_code,mainlevel_code
WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,PRIMARY
WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,677737,SECONDARY
WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,PRIMARY
WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,PRIMARY
WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,648350,SECONDARY
WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,PRIMARY
WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,579747,SECONDARY
WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,PRIMARY
WOODGROVE SECONDARY SCHOOL,3    WOODLANDS AVENUE 6,738990,SECONDARY
WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,PRIMARY
WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,PRIMARY
WOODLANDS RING SECONDARY SCHOOL,21   WOODLANDS AVENUE 1,739062,SECONDARY
WOODLANDS SECONDARY SCHOOL,11   MARSILING ROAD,739111,SECONDARY
XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,PRIMARY
XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,PRIMARY
XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,PRIMARY
XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,538789,SECONDARY
XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,PRIMARY
YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,PRIMARY
YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,PRIMARY
YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,PRIMARY
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,SECONDARY
YISHUN INNOVA JUNIOR COLLEGE,3    YISHUN RING ROAD,768675,JUNIOR COLLEGE
YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,PRIMARY
YISHUN SECONDARY SCHOOL,4    YISHUN STREET 71,768516,SECONDARY
YISHUN TOWN SECONDARY SCHOOL,6    YISHUN STREET 21,768610,SECONDARY
YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,PRIMARY
YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,618654,SECONDARY
YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,PRIMARY
YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,649406,SECONDARY
YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,PRIMARY
YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,658712,SECONDARY
YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,538884,SECONDARY
ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,PRIMARY
ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,PRIMARY
ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,677741,SECONDARY
ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,PRIMARY
ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,556123,SECONDARY
