OBJECTID,NAME,X,Y
107,MT BATTEN RD/OLD AIRPORT RD OS,33563.313,32007.72928277
108,KATONG PK,33901.68875713,31059.66194999
109,MARINE PARADE RD PK,36314.55565423,31914.66949999
110,WILKINSON INTERIM PK,34009.12121064,31555.62624999
111,HAIG WALK (GEYLANG RD-DUNMAN RD),35503.40865,32093.88724526
112,JOO CHIAT TERRACE PK,35610.07805,32966.22175716
113,LORONG SARINA INTERIM PK,36097.90527441,33600.42114999
114,JLN ISMAIL PK,36073.0276886,33938.26049999
115,PASIR RIS PK,41227.028,40073.7401677
116,PASIR RIS TOWN PK,41253.0244,39300.26946728
117,SUN PLAZA PK,40255.2955473,37847.95154999
118,SG API API PK,40540.3764936,40095.79589998
119,ELIAS TERRACE PG,39993.00959074,39359.83349999
120,HORTPARK,24075.24914018,29059.49054999
121,PASIR PANJANG NURSERY,23609.84205,29337.23955703
122,NATIVE PLANT CENTRE,16221.42541347,44340.85769999
123,PEK KIO PARK,29769.123,33150.82611413
124,ANG MO KIO TOWN GARDEN EAST,29888.2559,39176.30243154
125,ANG MO KIO TOWN GARDEN WEST,29048.44293733,39611.79149999
126,BISHAN-ANG MO KIO PARK (POND GARDENS),28343.8775306,38583.15854999
127,BISHAN-ANG MO KIO PARK (RIVER PLAINS),29730.33535892,38064.98359999
128,CHUAN GREEN PG,31637.995,38060.47140647
129,ST. NICHOLAS VIEW PLAYGROUND,27940.622,39292.99858655
130,ELLINGTON SQUARE PLAYGROUND,28134.8565,39334.56019143
131,GELENGGANG PARK,27612.26392914,39497.50199998
132,LEBAN PARK,27551.92820872,39385.12499999
133,MAYFLOWER CRESCENT PG,28691.12743434,39415.28054999
134,SERENADE WALK PG,28138.1175,40210.1699424
135,SHANGRI-LA PLAYGROUND,27896.88335,39226.00825614
136,SUNRISE CLOSE PG,30692.18705,40994.23851278
137,SUNRISE DR PG I,30676.565,41137.32132646
138,SUNRISE PLACE PG,30590.9375,40986.5948217
139,SUNRISE WAY PG,30599.83339829,41067.50199998
140,TEACHER`S ESTATE PG,27541.599,40439.19915379
141,THOMSON GREEN PG,27922.619,40074.29240059
142,THOMSON WALK PG,27907.30463909,39776.66754999
143,YIO CHU KANG GARDENS PG,28463.937,40294.21288733
144,SUNRISE TERRACE OS,30537.17566753,41130.87099999
145,CACTUS RD PG,30105.315,41336.72021843
146,SUNRISE DR PG II,30440.8655,41357.9939814
147,CHARTWELL DR PK,31400.198,37966.59263797
148,GARDEN VIEW PG,31600.273,38054.41140837
149,JLN RIANG PG,31792.36835652,36585.72749999
150,MEI HWAN CRESCENT PG,31163.345,37207.63128808
151,MEI HWAN DR PG,31355.8225,37272.1142256
152,TAI HWAN TERRACE PG,31007.10716349,37614.38549999
153,TAVISTOCK AVE PK,31565.631,39136.09497309
154,CHUAN WALK PG,31809.881,37700.22935746
155,COLCHESTER GROVE OS,31798.93345,37740.36928446
156,BINCHANG RISE PG,29138.4665,36754.99798433
157,THOMSON PK,28116.3369,37376.14446104
158,CLOVER WAY PG,29413.68514529,36921.24549999
159,FULTON AVE PG,28022.5298578,38240.43794999
160,ISLAND GDNS WALK PG,27456.9725,38228.43172908
161,JLN PINTAU PG,28740.58566267,37337.95004999
162,JUPITER PLAYGROUND,27089.45952816,37816.24204999
163,PEMIMPIN PLACE PG,29046.2225,37274.28946477
164,SOO CHOW WALK PG,27856.4125,37304.93869179
165,CLOVER CRESCENT PG,29252.84081077,37017.55899999
166,THE INGLEWOOD PG,27636.4328146,38126.21454999
167,CARMICHAEL RD PG,31304.01894901,36092.42799999
168,TAMAN PERMATA PK,28185.98770223,36908.91094999
169,CHUAN LANE PARK,30755.99641717,37095.84799999
170,PUNGGOL PK,35269.92065,39880.37670766
171,CONEY ISLAND PARK,37814.4448947,43476.46739999
172,ALJUNIED PK,33190.99405,34594.94095646
173,SURIN AVE NEIGHBOURHOOD PK,33649.79057416,37518.33099999
174,TAI KENG GARDENS PG,33757.64745816,36478.27499999
175,PAYA LEBAR CRESCENT OS,33592.28195,36787.44770503
176,THRIFT DR OS,33556.52455,36225.72081043
177,AROOZOO AVE PG,33857.9740563,37476.36359999
178,TAI KENG PLACE PG,33733.85625562,36353.41249999
179,JLN KELICHAP PG,33398.186,36545.88698201
180,JLN SELASEH PG,32458.546,40838.34386179
181,LILAC DR PG,31096.59538127,40346.21149998
182,MIMOSA RD PG,31308.04000603,40682.44949999
183,MIMOSA WALK PG,31131.7895,40562.2380785
184,MUGLISTON PK PG,32962.04345,40821.12989337
185,NERAM CRESCENT PG,31608.5445,40836.88793401
186,TAMARIND RD PG,30991.75007892,41291.40804999
187,NIM CRESCENT OS,31730.61055,40559.4842268
188,BEGONIA RD PG,31335.38335704,41083.58799998
189,JLN NAUNG PG,34622.00065,39064.92938286
190,PARRY RD PG,32917.355,38674.08005805
191,SARACA RD PG,30817.66697659,40956.31749999
192,DEDAP PLACE PG,31905.5955,41081.1493111
193,POH HUAT RD PG,33374.3825,38774.53090464
194,STRATTON WALK PG,31744.6665,40134.56032711
195,SELETAR TERRACE PG,31945.78523362,40382.88899999
196,ST ANNE'S WOOD PG,35836.5535,41506.12067206
197,PK VILLAS TERRACE PG,33191.02984948,39001.83749999
198,MIMOSA TERRACE PG,31019.34595,40666.78947408
199,DEW GARDEN,32200.7125,42349.31273678
200,PARRY AVE INTERIM PK,33321.34522225,38441.47054999
201,RICHARDS AVE PK,33432.043,38110.13965238
202,BUTTERFLY AVE PG,32898.7371,35180.44416476
203,CHEMPAKA AVE PG,32707.21605,34897.42673031
204,JLN GENENG INTERIM PK,33292.46415,37270.77127148
205,SENGKANG RIVERSIDE PK,33676.3465,42369.45056274
206,OASIS@MULBERRY PK,33021.09595,35010.44553696
207,SIANG KUANG AVE INTERIM PK,32421.64095,34671.21694486
208,LORONG TANGGAM PK,32500.02423658,42317.53629999
209,UPPER PAYA LEBAR INTERIM PARK,33469.36295,36192.25546672
210,NIM MEADOW PARK,31348.1669616,40065.95809999
211,GREENWAY SOUTH,32311.60426536,35262.80724999
212,FERNVALE PARK,32625.08642774,42155.61239999
213,SEMBAWANG PK,28392.48005,49231.09170055
214,YISHUN PK,29033.96445,45125.74891727
215,LOWER SELETAR RESERVOIR PARK,27507.52223398,43253.06954999
216,LENTOR WALK PG,28563.63195,41173.27224599
217,COUNTRYSIDE PG,28566.38108947,41345.39699999
218,LENTOR STREET PG,28106.607,41335.51040529
219,FLORISSA PK PG,28195.24236447,40989.95354999
220,FUDU WALK PG,28435.778,41306.42238107
221,LENTOR GREEN PG,28415.9795,40803.37347914
222,LENTOR GROVE PG,28562.23870547,40924.89154999
223,LENTOR RD PG,28473.373,41135.78124158
224,LENTOR VALE PG,28314.6645,41109.50090803
225,BANYAN VILLAS PG,28615.93733365,41023.72504999
226,YISHUN NEIGHBOURHOOD PK,28193.5666724,46605.40799998
227,PLATINA RD PG,27198.763,45476.22925031
