school_name,address,postal_code,mainlevel_code,longitude,latitude
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,SECONDARY,103.953245525564,1.33950630072876
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,PRIMARY,103.952080114035,1.34023163951633
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,PRIMARY,103.911105620496,1.30648535277087
CHIJ (KELLOCK),1    Bukit Teresa Road,099757,PRIMARY,103.828157564896,1.275022722964
CHIJ KATONG CONVENT,346  MARINE TERRACE,449150,SECONDARY,103.917144350028,1.30644268034894
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,PRIMARY,103.864009397373,1.35742952269615
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,PRIMARY,103.897575728303,1.37330297140128
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,PRIMARY,103.767412204602,1.366603668561
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,PRIMARY,103.841847263786,1.33275264711587
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,SECONDARY,103.843271625083,1.33246079948303
CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,548595,SECONDARY,103.902464991543,1.39175222260369
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,MIXED LEVELS,103.834253269436,1.37347687878916
CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,099138,SECONDARY,103.822440701642,1.27535177510054
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,PRIMARY,103.839309173817,1.43839562897006
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,PRIMARY,103.951317297552,1.35061130568554
CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,737924,SECONDARY,103.793451105242,1.42656780901455
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,PRIMARY,103.741832917421,1.37775890093367
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,SECONDARY,103.751878290333,1.38319029263484
CHUNG CHENG HIGH SCHOOL (MAIN),50   GOODMAN ROAD,439012,SECONDARY,103.891653229373,1.30509154753048
CHUNG CHENG HIGH SCHOOL (YISHUN),11   YISHUN STREET 61,768547,SECONDARY,103.837390782849,1.41922603586175
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,PRIMARY,103.763144493687,1.31506321827875
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,SECONDARY,103.762020598524,1.31553912945073
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,SECONDARY,103.745637393049,1.31920395934801
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVAE STREET,059984,PRIMARY,103.847424110235,1.28859134761324
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,SECONDARY,103.899847164494,1.39614083952009
CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,PRIMARY,103.736554295636,1.38026516111464
CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,PRIMARY,103.707578404944,1.35148548772662
CRESCENT GIRLS' SCHOOL,357  TANGLIN ROAD,247961,SECONDARY,103.817544461755,1.29331947077104
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,SECONDARY,103.742628105304,1.3431198045076
DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,PRIMARY,103.921286435321,1.33524602829747
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,SECONDARY,103.927091653438,1.33692798510393
DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,PRIMARY,103.74847210784,1.3591797447277
DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,PRIMARY,103.743201812831,1.3947078296399
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,SECONDARY,103.852545772422,1.36599702567717
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,SECONDARY,103.74472109107,1.36357900792871
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,MIXED LEVELS,103.88294155989,1.29996216014962
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,SECONDARY,103.956213906966,1.36065258337022
EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,PRIMARY,103.961676849165,1.35268400746357
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,SECONDARY,103.960640700298,1.35622508992581
EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,PRIMARY,103.907847599114,1.40009139510996
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,SECONDARY,103.902687385465,1.40059309981824
ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,PRIMARY,103.945289416873,1.37505696315817
ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,PRIMARY,103.817174701639,1.45388170417263
EUNOIA JUNIOR COLLEGE,2    Sin Ming Place,573838,JUNIOR COLLEGE,103.841286169122,1.36213757183547
EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,PRIMARY,103.794545295922,1.44414835451585
EVERGREEN SECONDARY SCHOOL,11   WOODLANDS STREET 83,738489,SECONDARY,103.794137756171,1.44149131273737
FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,139648,PRIMARY,103.785455606827,1.30100441916733
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,SECONDARY,103.784099647149,1.30163374395823
FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,PRIMARY,103.850766402965,1.31236867681371
FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,PRIMARY,103.931710293058,1.32980598760785
FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,PRIMARY,103.880330305684,1.39726966050479
FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,PRIMARY,103.874445458032,1.39030227963797
FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,PRIMARY,103.855529906182,1.34032299499938
FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,PRIMARY,103.69970173931,1.33641298743234
FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,PRIMARY,103.778192944298,1.43047990810126
FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,PRIMARY,103.736089481883,1.33659726465816
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,SECONDARY,103.72652089832,1.34701408913756
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,PRIMARY,103.815547410064,1.28559516494962
GAN ENG SENG SCHOOL,1    HENDERSON ROAD,159561,SECONDARY,103.823733673089,1.28907114485773
GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,389706,PRIMARY,103.883628501601,1.31814416827374
GEYLANG METHODIST SCHOOL (SECONDARY),2    GEYLANG EAST CENTRAL,389705,SECONDARY,103.882661129303,1.31764900474601
GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,PRIMARY,103.949144797277,1.35711606790292
GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,PRIMARY,103.91233462071,1.39648195114256
GREENDALE SECONDARY SCHOOL,51   EDGEDALE PLAINS,828866,SECONDARY,103.91170014084,1.39696019936894
GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,PRIMARY,103.767794469258,1.3858892193692
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,SECONDARY,103.773828466913,1.38186433722811
GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,PRIMARY,103.804725587384,1.43989958331782
GUANGYANG SECONDARY SCHOOL,8    BISHAN STREET 12,579807,SECONDARY,103.850208933626,1.34440856042912
HAI SING CATHOLIC SCHOOL,9    PASIR RIS DRIVE 6,519421,SECONDARY,103.954544548905,1.3743371707478
HAIG GIRLS' SCHOOL,51   Koon Seng Road,427072,PRIMARY,103.902902557195,1.31194344271383
HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,PRIMARY,103.784296227747,1.31667646178347
HILLGROVE SECONDARY SCHOOL,10   BUKIT BATOK STREET 52,659250,SECONDARY,103.752986488399,1.35273576615912
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,SECONDARY,103.896398814264,1.37154508822261
